,brands,prices,sale,tier
464,Michael Kors,88.0,66.0,0 1 0
465,Topshop,75.0,75.0,1 0 0
466,John Varvatos,88.0,,0 1 0
467,evolve,88.95,62.26,0 1 0
468,Tommy Bahama,79.5,,0 1 0
469,HalogenR,69.0,41.4,0 1 0
470,Vince Camuto,89.0,89.0,0 1 0
471,CeCe,74.0,74.0,0 1 0
472,BAPE,82.0,,0 1 0
473,Nike,85.0,85.0,0 1 0
474,Nom Maternity,68.0,40.8,0 1 0
475,Nina,88.95,53.37,0 1 0
476,Maceoo,78.0,46.8,0 1 0
477,Aqua,88.0,,0 1 0
478,French Connection,78.0,54.6,0 1 0
479,Stowaway Collection,85.0,85.0,0 1 0
480,Kendra Scott,85.0,,0 1 0
481,Argento Vivo,88.0,,0 1 0
482,Surya,87.0,65.25,0 1 0
483,Adina's Jewels,72.0,72.0,0 1 0
484,Jordan,70.0,,0 1 0
485,Nike,79.0,79.0,0 1 0
486,Carhartt Work In Progress,68.0,40.8,0 1 0
487,Champion,70.0,54.99,0 1 0
488,Nadri,80.0,56.0,0 1 0
489,Kappa Kontroll,84.0,59.0,0 1 0
490,Vitamin A,86.0,,0 1 0
491,Culinaire,80.0,,0 1 0
492,Josie,78.0,40.95,0 1 0
493,Kate Spade New York,78.0,78.0,0 1 0
494,CALPAK,75.0,63.75,0 1 0
495,BLANKNYC,88.0,88.0,0 1 0
496,Wildfox,88.0,66.0,0 1 0
497,Topshop,75.0,75.0,1 0 0
498,True Religion,79.0,79.0,0 1 0
499,Kate Spade New York,88.0,88.0,0 1 0
500,Topman,70.0,42.0,1 0 0
501,Anne Klein,69.0,69.0,0 1 0
502,Forzieri,88.0,,0 1 0
503,VERO MODA,69.0,,0 1 0
504,Franco Sarto,68.95,68.95,0 1 0
505,Thread & Supply,75.0,44.98,0 1 0
506,Karl Lagerfeld,70.0,66.0,0 1 0
507,Topshop,68.0,68.0,1 0 0
508,Polo Ralph Lauren,85.0,25.5,0 1 0
509,Astr The Label,89.0,89.0,0 1 0
510,Mini Rodini,89.0,76.0,0 1 0
511,Nadri,70.0,,0 1 0
512,Dr. Dennis Gross,88.0,88.0,0 1 0
513,Agolde,78.0,55.0,0 1 0
514,Laura Lombardi,68.0,68.0,0 1 0
515,FILA,79.0,79.0,0 1 0
516,Splendid,78.95,46.8,0 1 0
517,Estelle,79.0,79.0,0 1 0
518,Commando,74.0,74.0,0 1 0
519,Jag Jeans,84.0,84.0,0 1 0
520,Florence Eiseman,76.0,,0 1 0
521,Little Marc Jacobs,87.0,61.0,0 1 0
522,Vans,87.0,87.0,0 1 0
523,MAC Cosmetics,79.5,,0 1 0
524,Seafolly,78.0,73.49,0 1 0
525,Golden Door,88.0,,0 1 0
526,Moschino Kids,75.0,75.0,0 1 0
527,Bosca,85.0,45.0,0 1 0
528,The Men's Store At Bloomingdale's,68.0,,0 1 0
529,The Men's Store At Bloomingdale's,75.0,,0 1 0
530,Surya,87.0,65.25,0 1 0
531,Bonobos,78.0,78.0,0 1 0
532,Maaji,72.0,57.6,0 1 0
533,Saint Laurent,80.0,,0 1 0
534,Splendid,78.0,,0 1 0
535,Aqua,88.0,44.0,0 1 0
536,The North Face,80.0,,0 1 0
537,Standards & Practices,88.0,88.0,0 1 0
538,Madewell,69.5,55.6,0 1 0
539,Juliska,85.0,,0 1 0
540,Diesel,68.0,55.0,0 1 0
541,Aqua,88.0,,0 1 0
542,BCBGeneration,78.0,,0 1 0
543,Chelsea28,69.0,69.0,0 1 0
544,Brixton,88.0,52.8,0 1 0
545,Free People,88.0,88.0,0 1 0
546,Etro,75.0,75.0,0 1 0
547,Tommy Hilfiger,69.0,69.0,0 1 0
548,Diesel,68.0,41.0,0 1 0
549,Forzieri,86.4,,0 1 0
550,Kendra Scott,80.0,,0 1 0
551,Forzieri,87.0,,0 1 0
552,Mei L'ange,70.0,56.0,0 1 0
553,CaslonR,79.0,79.0,0 1 0
554,Converse,75.0,75.0,0 1 0
555,Blunt,80.0,,0 1 0
556,Bonobos,88.0,66.0,0 1 0
557,Molo,70.0,,0 1 0
558,Cutter & Buck,75.0,37.49,0 1 0
559,Longchamp,85.0,,0 1 0
560,Joseph A Plus,88.0,26.33,0 1 0
561,Corinne McCormack,68.0,68.0,0 1 0
562,Calvin Klein,76.0,65.0,0 1 0
563,Diesel,88.0,88.0,0 1 0
564,Tory Sport,78.0,78.0,0 1 0
565,Highline Bedding Co.,75.0,24.99,0 1 0
566,Nike,79.0,,0 1 0
567,Whistles,69.0,,0 1 0
568,J. Valdi,76.0,64.6,0 1 0
569,Charles Jeffrey Loverboy,75.0,75.0,0 1 0
570,Surf Gypsy,86.0,68.8,0 1 0
571,Soludos,84.95,33.98,0 1 0
572,Jordan,75.0,,0 1 0
573,Diesel Kids,77.0,77.0,0 1 0
574,Clinique,69.5,,0 1 0
575,En Creme,78.0,46.8,0 1 0
576,Nine West,88.95,88.95,0 1 0
577,Nina,75.0,75.0,0 1 0
578,BCBGeneration,78.0,,0 1 0
579,Mitchell & Ness,85.0,,0 1 0
580,Sanctuary,79.0,23.63,0 1 0
581,Majestic International,70.0,70.0,0 1 0
582,Paul Smith,75.0,75.0,0 1 0
583,Re/Done,74.0,74.0,0 1 0
584,Aqua,84.0,33.6,0 1 0
585,BCBG,88.0,,0 1 0
586,Diesel,88.0,88.0,0 1 0
587,Vetements,80.0,80.0,0 1 0
588,Waterford,70.0,49.99,0 1 0
589,Red Haute,88.0,,0 1 0
590,Aqua,78.0,,0 1 0
591,Lab Series Skincare for Men,75.0,,0 1 0
592,Forzieri,88.0,,0 1 0
593,YMC,82.0,82.0,0 1 0
594,Nike,79.0,79.0,0 1 0
595,The Fifth Label,72.0,43.2,0 1 0
596,adidas Originals,70.0,,0 1 0
597,Beyond Yoga,99.0,99.0,0 1 0
598,Supreme,109.0,109.0,0 1 0
599,The Upside,109.0,81.0,0 1 0
600,Jennifer Behr,98.0,,0 1 0
601,Skagen,95.0,95.0,0 1 0
602,Theory,95.0,39.97,0 1 0
603,Terez,108.0,,0 1 0
604,Nike,100.0,,0 1 0
605,Wildfox,98.0,98.0,0 1 0
606,ALLSAINTS,95.0,66.5,0 1 0
607,Tory Sport,98.0,39.2,0 1 0
608,Dior,95.0,95.0,0 1 0
609,Polo Ralph Lauren,89.5,,0 1 0
610,Gibson,89.0,89.0,0 1 0
611,Beyond Yoga,99.0,79.2,0 1 0
612,PE Nation,100.0,50.0,0 1 0
613,GOOD AMERICAN,100.0,99.0,0 1 0
614,BCBGeneration,108.0,,0 1 0
615,Sterling Forever,93.0,93.0,0 1 0
616,CeCe,89.0,89.0,0 1 0
617,Alexis Bittar,95.0,95.0,0 1 0
618,Ralph Lauren,89.5,,0 1 0
619,Vince Camuto,99.0,99.0,0 1 0
620,CeCe,99.0,99.0,0 1 0
621,Hudson Park Collection,90.0,69.99,0 1 0
622,Supreme,100.0,,0 1 0
623,Vince Camuto,99.0,99.0,0 1 0
624,Kith,109.0,,0 1 0
625,Prps,98.0,29.0,0 1 0
626,Jordan,90.0,74.99,0 1 0
627,Barbour,99.0,49.5,0 1 0
628,SFERRA,105.0,,0 1 0
629,Aetrex,99.95,99.95,0 1 0
630,Matouk,108.0,,0 1 0
631,Whiting & Davis,98.0,98.0,0 1 0
632,Karl Lagerfeld,105.0,74.0,0 1 0
633,Lancaster,106.0,106.0,0 1 0
634,adidas,90.0,54.0,0 1 0
635,JENNIFER ZEUNER,99.0,79.2,0 1 0
636,BCBG,98.0,,0 1 0
637,Nike,100.0,,0 1 0
638,Estelle,98.0,73.5,0 1 0
639,Under Armour,92.0,,0 1 0
