,brands,prices,sale,tier
1880,Jonathan Simkhai,295.0,295.0,0 1 0
1881,Paul Smith,295.0,148.0,0 1 0
1882,BAPE,318.0,,0 1 0
1883,Sandro,295.0,295.0,0 1 0
1884,Juun.J,295.0,206.0,0 1 0
1885,Allen Edmonds,275.0,275.0,0 1 0
1886,Mulberry,295.0,295.0,0 1 0
1887,Pigeon and Poodle,280.0,,0 1 0
1888,Canali,295.0,218.0,0 1 0
1889,Bernardaud,304.0,,0 1 0
1890,Côte & Ciel,279.0,,0 1 0
1891,Akris punto,295.0,,0 1 0
1892,Boss Hugo Boss,278.0,166.8,0 1 0
1893,Oliver Gal,277.5,277.5,0 1 0
1894,Moschino,317.0,317.0,0 1 0
1895,SLINK Jeans,299.0,299.0,0 1 0
1896,BCBG,298.0,,0 1 0
1897,Whistles,319.0,223.0,0 1 0
1898,Js Collections,298.0,298.0,0 1 0
1899,Ted Baker,280.0,167.98,0 1 0
1900,Via Spiga,295.0,177.0,0 1 0
1901,Incotex,287.0,258.0,0 1 0
1902,Halston,295.0,92.93,0 1 0
1903,Missoni,292.0,286.0,0 1 0
1904,Persol,310.0,310.0,0 1 0
1905,Jaipur,322.0,,0 1 0
1906,Lele Sadoughi,285.0,,0 1 0
1907,Elie Tahari,298.0,,0 1 0
1908,Alice And Olivia,295.0,,0 1 0
1909,Charlotte Knowles,295.0,295.0,0 1 0
1910,Chiara Ferragni,316.0,316.0,0 1 0
1911,Marysia,283.0,283.0,0 1 0
1912,Ecoalf,320.0,240.0,0 1 0
1913,LemLem,285.0,228.0,0 1 0
1914,Alighieri,280.6,,0 1 0
1915,Emporio Armani,295.0,147.49,0 1 0
1916,Moschino,275.0,165.0,0 1 0
1917,Eleventy,313.0,313.0,0 1 0
1918,Dorothee Schumacher,294.0,294.0,0 1 0
1919,Engineered Garments,320.0,256.0,0 1 0
1920,Off-White,310.0,310.0,0 1 0
1921,Alighieri,305.0,,0 1 0
1922,John Varvatos,298.0,298.0,0 1 0
1923,Canali,285.0,,0 1 0
1924,1017 ALYX 9SM,283.0,212.0,0 1 0
1925,Nike,309.0,309.0,0 1 0
1926,Pas de Rouge,310.0,310.0,0 1 0
1927,BAPE,309.0,,0 1 0
1928,iCanvas,289.99,289.99,0 1 0
1929,MARIA BLACK,308.0,308.0,0 1 0
1930,John Varvatos,298.0,223.5,0 1 0
1931,Gerard Darel,285.0,142.5,0 1 0
1932,Alexachung,315.0,158.0,0 1 0
1933,Ermenegildo Zegna,295.0,295.0,0 1 0
1934,Supreme,285.0,,0 1 0
1935,Laneus,303.0,257.0,0 1 0
1936,Joseph,295.0,118.0,0 1 0
1937,Twin-Set,276.0,276.0,0 1 0
1938,Dsquared2,285.0,171.0,0 1 0
1939,Bashian,285.0,213.75,0 1 0
1940,Whistles,319.0,319.0,0 1 0
1941,Salvatore Ferragamo,300.0,300.0,0 1 0
1942,COACH,275.0,275.0,0 1 0
1943,Palace,300.0,,0 1 0
1944,Eleventy,303.0,228.0,0 1 0
1945,Reiss,320.0,185.0,0 1 0
1946,Jennifer Behr,295.0,144.0,0 1 0
1947,Furla,280.0,,0 1 0
1948,Jacob Cohen,280.0,238.0,0 1 0
1949,VALENTINO,318.0,190.8,0 1 0
1950,Jacob Cohen,306.0,214.0,0 1 0
1951,Palm Angels,275.0,275.0,0 1 0
1952,rag & bone,275.0,350.0,0 1 0
1953,Sunday Somewhere,290.0,,0 1 0
1954,Dolce & Gabbana,280.0,,0 1 0
1955,Victoria Victoria Beckham,313.0,313.0,0 1 0
1956,Zwilling J.a. Henckels,275.0,,0 1 0
1957,Eton,280.0,280.0,0 1 0
1958,Nike,280.0,,0 1 0
1959,adidas,305.0,305.0,0 1 0
1960,Moschino,276.0,276.0,0 1 0
1961,STAUD,295.0,,0 1 0
1962,Fleur du Mal,295.0,295.0,0 1 0
1963,L'AGENCE,319.0,319.0,0 1 0
1964,Jacob Cohen,301.0,226.0,0 1 0
1965,Whiting & Davis,285.0,285.0,0 1 0
1966,John Varvatos,278.0,278.0,0 1 0
1967,Wedgwood,275.0,,0 1 0
1968,Versace,311.0,186.6,0 1 0
1969,Sandro,295.0,147.5,0 1 0
1970,Nike,307.0,,0 1 0
1971,Opening Ceremony,295.0,144.0,0 1 0
1972,Salvatore Ferragamo,285.0,,0 1 0
1973,Helmut Lang,320.0,285.0,0 1 0
1974,Soulland,295.0,295.0,0 1 0
1975,Tibi,295.0,295.0,0 1 0
1976,Jamie Young,285.0,242.25,0 1 0
1977,Gucci,290.0,,0 1 0
1978,Veronica Beard,278.0,278.0,0 1 0
1979,YMC,321.0,225.0,0 1 0
1980,Paul Smith,295.0,295.0,0 1 0
1981,Salvatore Ferragamo,275.0,,0 1 0
1982,Self-Portrait,279.0,223.0,0 1 0
1983,Emanuele Bicocchi,320.0,320.0,0 1 0
1984,Billionaire Boys Club,294.0,177.0,0 1 0
1985,Sisley Paris,310.0,310.0,0 1 0
1986,Bloomingdale's,280.0,210.0,0 1 0
1987,Roberto Collina,287.0,258.0,0 1 0
1988,Antik Batik,279.0,279.0,0 1 0
1989,Alice And Olivia,275.0,,0 1 0
1990,Gucci,350.0,350.0,0 1 0
1991,PINKO,375.0,188.0,0 1 0
1992,RED Valentino,360.0,252.0,0 1 0
1993,Nike,340.0,,0 1 0
1994,Michael Kors,333.0,333.0,0 1 0
1995,Alice Mccall,325.0,,0 1 0
1996,Tibi,345.0,137.98,0 1 0
1997,Moncler,355.0,355.0,0 1 0
1998,Vince,350.0,262.5,0 1 0
1999,Victoria Victoria Beckham,366.0,293.0,0 1 0
2000,Jacquemus,361.0,361.0,0 1 0
2001,Supreme,337.0,,0 1 0
2002,Supreme,350.0,,0 1 0
2003,Jil Sander,380.0,228.0,0 1 0
2004,Lagos,350.0,350.0,0 1 0
2005,Paul Green,385.0,385.0,0 1 0
2006,Billionaire Boys Club,338.0,153.0,0 1 0
2007,Loloi,346.0,259.5,0 1 0
2008,Bleu De Chauffe,360.0,,0 1 0
2009,SFERRA,380.0,,0 1 0
2010,Palace,325.0,,0 1 0
2011,House Of Sillage,370.0,,0 1 0
2012,Tom Ford,385.0,385.0,0 1 0
2013,Chloé,355.0,,0 1 0
2014,Troubadour,372.0,298.0,0 1 0
2015,Tanya Taylor,375.0,224.98,0 1 0
2016,Philippe Model,343.0,275.0,0 1 0
2017,KENZO,325.0,228.0,0 1 0
2018,Garrett Leight,365.0,365.0,0 1 0
2019,Zanella,375.0,187.49,0 1 0
2020,Jan Barboglio,335.0,,0 1 0
2021,Stone Island,323.0,323.0,0 1 0
2022,Peserico,357.0,286.0,0 1 0
2023,Pastori,358.2,,0 1 0
2024,Royal Limoges,325.0,,0 1 0
2025,Versace,345.0,345.0,0 1 0
2026,Moschino,350.0,350.0,0 1 0
2027,Vince,372.0,372.0,0 1 0
2028,Neil Barrett,370.0,,0 1 0
2029,Simone Rocha,335.0,335.0,0 1 0
2030,Jacob Cohen,343.0,343.0,0 1 0
2031,Diesel,326.0,326.0,0 1 0
2032,Salvatore Ferragamo,360.0,288.0,0 1 0
2033,Max Mara,330.0,330.0,0 1 0
2034,Joseph,381.0,267.0,0 1 0
2035,rag & bone,350.0,350.0,0 1 0
2036,Saint Laurent,375.0,375.0,0 1 0
2037,Stuart Weitzman,349.0,349.0,0 1 0
2038,Dior,350.0,350.0,0 1 0
2039,I.D. Sarrieri,345.0,,0 1 0
2040,Très Bien,368.0,368.0,0 1 0
2041,Off-White,350.0,350.0,0 1 0
2042,Isaia,376.0,263.0,0 1 0
2043,La Mer,325.0,325.0,0 1 0
2044,Bloomingdale's,350.0,157.5,0 1 0
2045,1017 ALYX 9SM,375.0,375.0,0 1 0
2046,Rebecca Taylor,350.0,350.0,0 1 0
2047,Incotex,370.0,185.0,0 1 0
2048,Max Mara,335.0,335.0,0 1 0
2049,Chloé Eyewear,353.0,353.0,0 1 0
2050,Laundry by Shelli Segal,380.0,,0 1 0
2051,Icebreaker,350.0,350.0,0 1 0
2052,Safavieh,356.0,,0 1 0
2053,Tom Ford,325.0,325.0,0 1 0
2054,Rachel Zoe,345.0,207.0,0 1 0
2055,LEFF amsterdam,379.0,379.0,0 1 0
2056,Stone Island Junior,340.0,272.0,0 1 0
2057,alexanderwang.t,335.0,335.0,0 1 0
2058,Joseph,365.0,91.0,0 1 0
2059,ATM Anthony Thomas Melillo,350.0,171.0,0 1 0
2060,Valentino Pre-Owned,326.0,326.0,0 1 0
2061,STINE GOYA,350.0,,0 1 0
2062,Calligaris,345.0,,0 1 0
2063,Etro,360.0,180.0,0 1 0
2064,Emporio Armani,366.0,256.0,0 1 0
2065,JW Anderson,350.0,280.0,0 1 0
2066,Off-White,360.0,,0 1 0
2067,Palm Angels,329.0,329.0,0 1 0
2068,Missoni,370.0,222.0,0 1 0
2069,Kith,345.0,,0 1 0
2070,Etro,330.0,198.0,0 1 0
2071,Gentle Monster,346.0,346.0,0 1 0
2072,Yves Delorme,350.0,,0 1 0
2073,Kilian,325.0,,0 1 0
2074,Hickey Freeman,375.0,375.0,0 1 0
2075,Raf Simons,360.0,324.0,0 1 0
2076,Acne Studios,340.0,340.0,0 1 0
2077,Raf Simons,349.0,210.0,0 1 0
2078,Black Halo,375.0,375.0,0 1 0
2079,Aurelie Bidermann,352.13,,0 1 0
2080,Off-White,375.0,368.0,0 1 0
2081,Mephisto,350.0,350.0,0 1 0
2082,Just Cavalli,385.0,270.0,0 1 0
2083,Prada,334.0,334.0,0 1 0
2084,Charlotte Chesnais,332.0,332.0,0 1 0
2085,BAPE,336.0,,0 1 0
2086,Patrizia Pepe,371.0,371.0,0 1 0
2087,Tory Burch,380.0,285.0,0 1 0
2088,Helmut Lang,349.0,280.0,0 1 0
2089,Acne Studios,380.0,380.0,0 1 0
2090,Marcelo Burlon County of Milan,325.0,325.0,0 1 0
2091,Michael Kors,332.0,266.0,0 1 0
2092,Chie Mihara,378.0,378.0,0 1 0
2093,Versace,350.0,350.0,0 1 0
2094,Eshvi,367.0,367.0,0 1 0
2095,Versace,350.0,350.0,0 1 0
2096,Nike,352.0,,0 1 0
2097,Roberto Collina,345.0,345.0,0 1 0
2098,Paule Ka,377.0,377.0,0 1 0
2099,Alice Mccall,360.0,,0 1 0
2100,STINE GOYA,350.0,,0 1 0
2101,Faliero Sarti,336.0,286.0,0 1 0
2102,Supreme,330.0,,0 1 0
2103,Carolina Herrera,350.0,,0 1 0
2104,The Kooples,348.0,139.2,0 1 0
2105,VALENTINO,370.0,,0 1 0
2106,Oscar de la Renta,345.0,345.0,0 1 0
2107,Burberry,350.0,350.0,0 1 0
2108,Ramy Brook,345.0,,0 1 0
2109,Rodebjer,335.0,335.0,0 1 0
2110,Theory,335.0,251.87,0 1 0
2111,Each X Other,330.0,83.0,0 1 0
2112,Ermenegildo Zegna,375.0,187.0,0 1 0
2113,Khaite,340.0,340.0,0 1 0
2114,Opening Ceremony,350.0,315.0,0 1 0
2115,Mercedes Castillo,325.0,325.0,0 1 0
2116,Aspesi,353.0,212.0,0 1 0
2117,Sparrow & Wren,350.0,262.5,0 1 0
2118,BCBG,368.0,276.0,0 1 0
2119,Dolce & Gabbana,355.0,355.0,0 1 0
2120,Supreme,370.0,,0 1 0
2121,Juun.J,330.0,330.0,0 1 0
2122,Stella McCartney,380.0,266.0,0 1 0
2123,Jacquemus,377.0,,0 1 0
2124,Tory Burch,348.0,252.0,0 1 0
2125,MOUSSY Vintage,350.0,350.0,0 1 0
2126,Jimmy Choo,335.0,335.0,0 1 0
2127,Norma Kamali,350.0,,0 1 0
2128,Prada,340.0,340.0,0 1 0
2129,Crash Baggage,348.0,,0 1 0
2130,Dorateymur,350.0,350.0,0 1 0
2131,Peserico,327.0,327.0,0 1 0
2132,Represent,370.0,333.0,0 1 0
2133,Karl Lagerfeld,345.0,242.0,0 1 0
2134,Heron Preston,331.0,331.0,0 1 0
2135,MARC JACOBS,350.0,333.0,0 1 0
2136,John Richmond,343.0,340.0,0 1 0
2137,Saint Laurent,375.0,375.0,0 1 0
2138,Roseanna,368.0,220.0,0 1 0
2139,VIETRI,329.0,246.75,0 1 0
2140,Nike,325.0,,0 1 0
2141,Premiata,375.0,375.0,0 1 0
2142,Coccinelle,352.0,352.0,0 1 0
2143,The Elder Statesman,375.0,375.0,0 1 0
2144,Tadashi Shoji,328.0,328.0,0 1 0
2145,Chinti & Parker,373.0,373.0,0 1 0
2146,Balenciaga Eyewear,345.0,345.0,0 1 0
2147,Balmain,375.0,375.0,0 1 0
2148,Prada,380.0,380.0,0 1 0
2149,Palace,350.0,,0 1 0
2150,Etro,370.0,370.0,0 1 0
2151,Nike,330.0,,0 1 0
2152,Zac Zac Posen,325.0,195.0,0 1 0
2153,Nk,338.0,237.0,0 1 0
2154,IRO,344.0,275.0,0 1 0
2155,Palmer Harding,384.04,134.25,0 1 0
2156,Roberto Collina,339.0,135.0,0 1 0
2157,Proenza Schouler,350.0,350.0,0 1 0
2158,Nike,375.0,,0 1 0
2159,Prada,372.0,372.0,0 1 0
2160,Miu Miu,360.0,360.0,0 1 0
2161,Dolce & Gabbana,355.0,355.0,0 1 0
2162,Js Collections,358.0,358.0,0 1 0
2163,Closed,385.0,385.0,0 1 0
2164,KENZO,370.0,370.0,0 1 0
2165,Emilio Pucci,365.0,365.0,0 1 0
2166,Alexis,363.0,363.0,0 1 0
2167,Zadig & Voltaire,358.0,358.0,0 1 0
2168,Victoria Victoria Beckham,339.0,339.0,0 1 0
2169,Christopher Kane,325.0,325.0,0 1 0
2170,Michael Kors,346.0,312.0,0 1 0
2171,LemLem,385.0,385.0,0 1 0
2172,Jacob Cohen,332.0,232.0,0 1 0
2173,Supreme,328.0,,0 1 0
2174,FTP,350.0,,0 1 0
2175,Paul Smith,350.0,245.0,0 1 0
2176,L'Autre Chose,329.0,326.0,0 1 0
2177,Xander Zhou,345.0,345.0,0 1 0
2178,Sv Casa,356.0,,0 1 0
2179,Leandra Medine,375.0,188.0,0 1 0
2180,Off-White,370.0,222.0,0 1 0
2181,Fendi,350.0,350.0,0 1 0
2182,Common Projects,375.0,375.0,0 1 0
2183,Bally,350.0,,0 1 0
2184,J Brand,378.0,,0 1 0
2185,Lafayette 148 New York,348.0,139.2,0 1 0
2186,Halston Heritage,375.0,149.0,0 1 0
2187,Ming Wang,355.0,177.5,0 1 0
2188,adidas,325.0,,0 1 0
2189,Vince,425.0,318.75,0 1 0
2190,Le Gramme,420.0,260.0,0 1 0
2191,Ann Demeulemeester,410.0,144.0,0 1 0
2192,Tibi,395.0,,0 1 0
2193,Karen Walker,406.0,406.0,0 1 0
2194,Crash Baggage,400.0,,0 1 0
2195,Matouk,450.0,,0 1 0
2196,Nike,390.0,390.0,0 1 0
2197,Miu Miu,400.0,400.0,0 1 0
2198,Jonathan Simkhai,395.0,197.0,0 1 0
2199,Garrett Leight,395.0,395.0,0 1 0
2200,Persol,400.0,400.0,0 1 0
2201,Salvatore Ferragamo,389.0,389.0,0 1 0
2202,Ramy Brook,445.0,,0 1 0
2203,Moncler,425.0,425.0,0 1 0
2204,Puma,450.0,450.0,0 1 0
2205,Stella McCartney,445.0,223.0,0 1 0
2206,Nike,450.0,,0 1 0
2207,3.1 Phillip Lim,450.0,450.0,0 1 0
2208,Mansur Gavriel,395.0,395.0,0 1 0
2209,Sonia Rykiel,402.0,241.0,0 1 0
2210,Cloth & Co.,450.0,337.5,0 1 0
2211,Victorinox Swiss Army,395.0,,0 1 0
2212,Woolrich,440.0,286.0,0 1 0
2213,Dalyn Rug Company,398.0,,0 1 0
2214,Thom Browne,385.14,,0 1 0
2215,Akris punto,395.0,395.0,0 1 0
2216,Repetto,410.0,,0 1 0
2217,Jordan,410.0,410.0,0 1 0
2218,Travis Scott,400.0,,0 1 0
2219,Psycho Bunny,395.0,237.0,0 1 0
2220,Maison Margiela,440.0,440.0,0 1 0
2221,To Boot New York,450.0,315.0,0 1 0
2222,Harris Wharf,416.0,374.0,0 1 0
2223,Pearls Before Swine,390.0,390.0,0 1 0
2224,MSGM,410.0,205.0,0 1 0
2225,Jenni Kayne,395.0,395.0,0 1 0
2226,Anissa Kermiche,448.0,,0 1 0
2227,YMC,443.0,443.0,0 1 0
2228,Issey Miyake,430.0,430.0,0 1 0
2229,Officine Creative,389.0,389.0,0 1 0
2230,Salvatore Ferragamo,395.0,,0 1 0
2231,Diane von Furstenberg,428.0,,0 1 0
2232,Equipment,422.0,422.0,0 1 0
2233,Nike,450.0,,0 1 0
2234,Gucci,430.0,430.0,0 1 0
2235,ROSSIGNOL,400.0,400.0,0 1 0
2236,Needles,445.0,445.0,0 1 0
2237,Roberto Cavalli,395.0,395.0,0 1 0
2238,Alexander McQueen,390.0,390.0,0 1 0
2239,Descente Allterrain,392.0,392.0,0 1 0
2240,Salvatore Ferragamo,430.0,430.0,0 1 0
2241,KENZO,395.0,198.0,0 1 0
2242,Dsquared2,395.0,198.0,0 1 0
2243,Proenza Schouler,390.0,351.0,0 1 0
2244,Bloomingdale's,450.0,202.5,0 1 0
2245,John Varvatos,448.0,,0 1 0
2246,John Elliott,398.0,398.0,0 1 0
2247,Each X Other,429.0,343.0,0 1 0
2248,Moncler,395.0,,0 1 0
2249,Salvatore Ferragamo,395.0,395.0,0 1 0
2250,Kiki de Montparnasse,395.0,395.0,0 1 0
2251,Furla,417.0,417.0,0 1 0
2252,Christine Lingerie,390.0,,0 1 0
2253,I.V.I.,400.0,400.0,0 1 0
2254,L'AGENCE,390.0,390.0,0 1 0
2255,Miu Miu,395.0,395.0,0 1 0
2256,EF COLLECTION,395.0,395.0,0 1 0
2257,Marques Almeida,390.0,,0 1 0
2258,Halston Heritage,425.0,208.0,0 1 0
2259,Elie Tahari,448.0,,0 1 0
2260,Danse Lente,430.0,,0 1 0
2261,KENZO,440.0,264.0,0 1 0
2262,Kara,395.0,395.0,0 1 0
2263,Gucci,435.0,435.0,0 1 0
2264,Golden Goose Deluxe Brand,390.0,273.0,0 1 0
2265,Alexander McQueen,415.0,,0 1 0
2266,Mac Duggal,398.0,398.0,0 1 0
2267,Supreme,439.0,439.0,0 1 0
2268,Place Nationale,391.0,293.25,0 1 0
2269,Halston Heritage,395.0,,0 1 0
2270,Bottega Veneta,449.0,,0 1 0
2271,KENZO,395.0,395.0,0 1 0
2272,Opening Ceremony,450.0,175.0,0 1 0
2273,Supreme,400.0,,0 1 0
2274,L'AGENCE,390.0,390.0,0 1 0
2275,Thom Browne,390.0,234.0,0 1 0
2276,Milly,395.0,,0 1 0
2277,Kith,399.0,,0 1 0
2278,Rebecca De Ravenel,415.0,415.0,0 1 0
2279,Michael Kors,450.0,,0 1 0
2280,M Missoni,386.0,309.0,0 1 0
2281,Dsquared2,440.0,308.0,0 1 0
2282,Anna Weatherley,440.0,,0 1 0
2283,Thom Browne,450.0,450.0,0 1 0
2284,Salvatore Ferragamo,395.0,395.0,0 1 0
2285,Etro,420.0,315.0,0 1 0
2286,Cinq a Sept,395.0,395.0,0 1 0
2287,Chiara Boni La Petite Robe,395.0,,0 1 0
2288,Cesta Collective,450.0,,0 1 0
2289,Gerard Darel,445.0,,0 1 0
2290,Les Reveries,390.0,,0 1 0
2291,Prada,395.0,,0 1 0
2292,Charlotte Chesnais,449.0,449.0,0 1 0
2293,MARC JACOBS,395.0,316.0,0 1 0
2294,Modern Weaving,435.0,435.0,0 1 0
2295,RED Valentino,415.0,415.0,0 1 0
2296,SWEAR,420.0,420.0,0 1 0
2297,Gucci,420.0,420.0,0 1 0
2298,Karl Lagerfeld,415.0,208.0,0 1 0
2299,Oliver Peoples,425.0,425.0,0 1 0
2300,Tom Ford,400.0,400.0,0 1 0
2301,Dion Lee,390.0,234.0,0 1 0
2302,Nanushka,395.0,395.0,0 1 0
2303,Uniforme,415.0,,0 1 0
2304,Marcelo Burlon County of Milan,445.0,267.0,0 1 0
2305,Off-White,450.0,450.0,0 1 0
2306,Anne De Solene,435.0,,0 1 0
2307,Jordan,450.0,,0 1 0
2308,Tom Ford,430.0,,0 1 0
2309,Rick Owens,424.0,340.0,0 1 0
2310,Saint Laurent,450.0,,0 1 0
2311,EF COLLECTION,450.0,450.0,0 1 0
2312,Brunello Cucinelli,445.0,445.0,0 1 0
2313,Brunello Cucinelli,445.0,445.0,0 1 0
2314,Kitchenaid,440.0,,0 1 0
2315,Reiss,425.0,275.0,0 1 0
2316,ROSSIGNOL,424.0,382.0,0 1 0
2317,Dsquared2,395.0,395.0,0 1 0
2318,Ermenegildo Zegna,395.0,316.0,0 1 0
2319,Givenchy,450.0,,0 1 0
2320,Philippe Model,427.0,427.0,0 1 0
2321,Belstaff,450.0,450.0,0 1 0
2322,Rebecca Taylor,450.0,450.0,0 1 0
2323,SLVRLAKE,415.0,415.0,0 1 0
2324,Rebecca Taylor,395.0,395.0,0 1 0
2325,Sulvam,417.0,250.0,0 1 0
2326,Marchesa Notte,395.0,,0 1 0
2327,Aspesi,410.0,410.0,0 1 0
2328,Tom Ford,450.0,,0 1 0
2329,Bally,425.0,297.5,0 1 0
2330,Rebecca Taylor,395.0,,0 1 0
2331,Jan Barboglio,450.0,,0 1 0
2332,Y/Project,448.0,448.0,0 1 0
2333,Uniform Wares,416.0,416.0,0 1 0
2334,Pakerson,427.0,,0 1 0
2335,LES FEW,395.0,,0 1 0
2336,Kiki de Montparnasse,450.0,,0 1 0
2337,BAPE,393.0,,0 1 0
2338,Cesta Collective,450.0,,0 1 0
2339,Woolrich,427.0,,0 1 0
2340,Miu Miu Eyewear,440.0,440.0,0 1 0
2341,Ienki Ienki,386.0,386.0,0 1 0
2342,Julius,405.0,324.0,0 1 0
2343,Azhar,390.0,,0 1 0
2344,Moncler,420.0,205.0,0 1 0
2345,Dunhill,385.0,,0 1 0
2346,Safavieh,389.0,,0 1 0
2347,Saint Laurent,405.0,405.0,0 1 0
2348,Dalyn Rug Company,398.0,,0 1 0
2349,Balenciaga,395.0,,0 1 0
2350,Common Projects,401.0,401.0,0 1 0
2351,Ermenegildo Zegna,395.0,,0 1 0
2352,Fendi,400.0,400.0,0 1 0
2353,Faliero Sarti,416.0,416.0,0 1 0
2354,Shoshanna,398.0,,0 1 0
2355,Brochu Walker,428.0,428.0,0 1 0
2356,Elizabeth and James,425.0,191.0,0 1 0
2357,VALENTINO,425.0,425.0,0 1 0
2358,Cinq a Sept,395.0,277.0,0 1 0
2359,Alexis,396.0,278.0,0 1 0
2360,John Hardy,395.0,395.0,0 1 0
2361,Tadashi Shoji,388.0,388.0,0 1 0
2362,UGG,412.0,247.2,0 1 0
2363,RIXO,416.0,250.0,0 1 0
2364,Raymond Weil,440.0,,0 1 0
2365,Moncler Genius,425.0,,0 1 0
2366,Les Reveries,436.0,218.0,0 1 0
2367,Golden Goose Deluxe Brand,445.0,,0 1 0
2368,Konstantino,395.0,395.0,0 1 0
2369,Peserico,391.0,246.0,0 1 0
2370,Givenchy,420.0,420.0,0 1 0
2371,Diane von Furstenberg,448.0,448.0,0 1 0
2372,Marina Rinaldi,395.0,,0 1 0
2373,SUISTUDIO,399.0,399.0,0 1 0
2374,Lisa Marie Fernandez,395.0,395.0,0 1 0
2375,Marques Almeida,406.0,284.0,0 1 0
2376,Moncler,425.0,425.0,0 1 0
2377,Jour Ne,400.0,160.0,0 1 0
2378,COACH,387.0,387.0,0 1 0
2379,SWEAR,385.0,385.0,0 1 0
2380,Burberry,420.0,420.0,0 1 0
2381,KENZO,431.0,431.0,0 1 0
2382,Engineered Garments,415.0,270.0,0 1 0
2383,Prada,420.0,420.0,0 1 0
2384,Dsquared2,445.0,223.0,0 1 0
2385,Elie Tahari,443.0,443.0,0 1 0
2386,Armani,445.0,400.5,0 1 0
2387,Chinti & Parker,449.0,315.0,0 1 0
2388,Kara,477.0,311.0,0 1 0
2389,Maison Margiela,495.0,446.0,0 1 0
2390,Sydney Evan,530.0,530.0,0 0 1
2391,Nanushka,483.0,242.0,0 1 0
2392,Ulla Johnson,525.0,525.0,0 0 1
2393,Hed Mayner,466.0,443.0,0 1 0
2394,Tateossian,460.0,460.0,0 1 0
2395,Home Treasures,495.0,,0 1 0
2396,Ermenegildo Zegna,475.0,285.0,0 1 0
2397,Cardinal of Canada,495.0,,0 1 0
2398,Aquatalia,475.0,237.5,0 1 0
2399,Dana Rebecca Designs,495.0,495.0,0 1 0
2400,Aquatalia,495.0,,0 1 0
2401,La Prestic Ouiston,500.0,,0 1 0
2402,Vanrycke,515.0,,0 0 1
2403,Barton Perreira,470.0,470.0,0 1 0
2404,Zadig & Voltaire,458.0,229.0,0 1 0
2405,Fear of God,495.0,495.0,0 1 0
2406,Forzieri,470.0,,0 1 0
2407,Prada,460.0,,0 1 0
2408,Golden Goose Deluxe Brand,530.0,530.0,0 0 1
2409,Alexander McQueen,490.0,490.0,0 1 0
2410,Smythe,495.0,495.0,0 1 0
2411,ISABEL MARANT,460.0,,0 1 0
2412,Mateo,532.0,532.0,0 0 1
2413,rag & bone,495.0,371.25,0 1 0
2414,EF COLLECTION,450.0,,0 1 0
2415,Malone Souliers,527.0,527.0,0 0 1
2416,Iceberg,479.0,431.0,0 1 0
2417,Aalto,530.0,504.0,0 0 1
2418,BESFXXK,485.0,,0 1 0
2419,Gerard Darel,465.0,,0 1 0
2420,Marni,463.0,463.0,0 1 0
2421,Burberry,490.0,,0 1 0
2422,Salvatore Ferragamo,475.0,475.0,0 1 0
2423,Supreme,540.0,,0 0 1
2424,Versace,525.0,525.0,0 0 1
2425,Dolce & Gabbana,485.0,291.0,0 1 0
2426,Etro,460.0,460.0,0 1 0
2427,Santoni,530.0,424.0,0 0 1
2428,Burberry,520.0,520.0,0 0 1
2429,Prada,451.0,451.0,0 1 0
2430,Dior,495.0,247.49,0 1 0
2431,Boss Hugo Boss,495.0,198.98,0 1 0
2432,Shihara,477.0,477.0,0 1 0
2433,JW Anderson,490.0,196.0,0 1 0
2434,Reiss,540.0,180.0,0 0 1
2435,Art Addiction Inc.,500.0,375.0,0 1 0
2436,Modern Weaving,495.0,198.0,0 1 0
2437,L'Autre Chose,540.0,270.0,0 0 1
2438,Julius,490.0,485.0,0 1 0
2439,Paris Texas,465.0,465.0,0 1 0
2440,Versace,525.0,525.0,0 0 1
2441,Brunello Cucinelli,475.0,475.0,0 1 0
2442,MSGM,490.0,294.0,0 1 0
2443,VALENTINO,495.0,,0 1 0
2444,Acne Studios,470.0,470.0,0 1 0
2445,Common Projects,490.0,,0 1 0
2446,Ahluwalia Studio,495.0,495.0,0 1 0
2447,Burberry,490.0,,0 1 0
2448,Dsquared2,480.0,240.0,0 1 0
2449,Prada,500.0,500.0,0 1 0
2450,3.1 Phillip Lim,495.0,297.0,0 1 0
2451,Reiss,475.0,185.0,0 1 0
2452,Salvatore Ferragamo,452.0,317.0,0 1 0
2453,Rickie Freeman for Teri Jon,495.0,,0 1 0
2454,Tory Burch,458.0,274.8,0 1 0
2455,Tod's,525.0,368.0,0 0 1
2456,Harris Wharf,451.0,361.0,0 1 0
2457,Ramy Brook,495.0,,0 1 0
2458,Alberta Ferretti,531.0,372.0,0 0 1
2459,Burberry,490.0,,0 1 0
2460,Joseph,471.0,471.0,0 1 0
2461,Iceberg,526.0,263.0,0 0 1
2462,Gucci,480.0,480.0,0 1 0
2463,Repetto,525.0,,0 0 1
2464,La Mer,490.0,,0 1 0
2465,Alexander McQueen,490.0,490.0,0 1 0
2466,Troubadour,473.0,473.0,0 1 0
2467,Tiger of Sweden,539.0,539.0,0 0 1
2468,Maison Margiela,495.0,495.0,0 1 0
2469,Golden Goose Deluxe Brand,530.0,530.0,0 0 1
2470,Maison Margiela,523.0,523.0,0 0 1
2471,Marques Almeida,500.0,,0 1 0
2472,Thom Browne,479.0,431.0,0 1 0
2473,Victoria Victoria Beckham,475.0,285.0,0 1 0
